,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
3297,5106158,Nova Bandeirantes,-9.84977,-57.8139,0,51,117,66,America/Porto_Velho
3301,5106208,Nova Brasilândia,-14.9612,-54.9685,0,51,8981,66,America/Porto_Velho
3306,5106216,Nova Canaã do Norte,-10.558,-55.953,0,51,9889,66,America/Porto_Velho
3327,5108808,Nova Guarita,-10.312,-55.4061,0,51,121,66,America/Porto_Velho
3338,5106182,Nova Lacerda,-14.4727,-59.6001,0,51,1040,65,America/Porto_Velho
3344,5108857,Nova Marilândia,-14.3568,-56.9696,0,51,103,65,America/Porto_Velho
3345,5108907,Nova Maringá,-13.0136,-57.0908,0,51,111,66,America/Porto_Velho
3347,5108956,Nova Monte Verde,-9.99998,-57.5261,0,51,119,66,America/Porto_Velho
3348,5106224,Nova Mutum,-13.8374,-56.0743,0,51,9937,65,America/Porto_Velho
3349,5106174,Nova Nazaré,-13.9486,-51.8002,0,51,1086,66,America/Porto_Velho
3352,5106232,Nova Olímpia,-14.7889,-57.2886,0,51,9893,65,America/Porto_Velho
3374,5106190,Nova Santa Helena,-10.8651,-55.1872,0,51,1088,66,America/Porto_Velho
3383,5106240,Nova Ubiratã,-12.9834,-55.2556,0,51,1042,66,America/Porto_Velho
3390,5106257,Nova Xavantina,-14.6771,-52.3502,0,51,9195,66,America/Porto_Velho
3405,5106273,Novo Horizonte do Norte,-11.4089,-57.3488,0,51,9903,66,America/Porto_Velho
3412,5106265,Novo Mundo,-9.95616,-55.2029,0,51,1044,66,America/Porto_Velho
3420,5106315,Novo Santo Antônio,-12.2875,-50.9686,0,51,1090,66,America/Porto_Velho
3421,5106281,Novo São Joaquim,-14.9054,-53.0194,0,51,9867,66,America/Porto_Velho
3593,5106299,Paranaíta,-9.65835,-56.4786,0,51,9885,66,America/Porto_Velho
3598,5106307,Paranatinga,-14.4265,-54.0524,0,51,8983,66,America/Porto_Velho
3700,5106372,Pedra Preta,-16.6245,-54.4722,0,51,9181,66,America/Porto_Velho
3730,5106422,Peixoto de Azevedo,-10.2262,-54.9794,0,51,9891,66,America/Porto_Velho
3882,5106455,Planalto da Serra,-14.6518,-54.7819,0,51,91,66,America/Porto_Velho
3898,5106505,Poconé,-16.266,-56.6261,0,51,9129,65,America/Porto_Velho
3913,5106653,Pontal do Araguaia,-15.9274,-52.3273,0,51,95,66,America/Porto_Velho
3922,5106703,Ponte Branca,-16.7584,-52.8369,0,51,9133,66,America/Porto_Velho
3926,5106752,Pontes e Lacerda,-15.2219,-59.3435,0,51,8999,65,America/Porto_Velho
3948,5106778,Porto Alegre do Norte,-10.8761,-51.6357,0,51,9895,66,America/Porto_Velho
3959,5106802,Porto dos Gaúchos,-11.533,-57.4132,0,51,9135,66,America/Porto_Velho
3960,5106828,Porto Esperidião,-15.857,-58.4619,0,51,9875,65,America/Porto_Velho
3961,5106851,Porto Estrela,-15.3235,-57.2204,0,51,101,65,America/Porto_Velho
3993,5107008,Poxoréu,-15.8299,-54.4208,0,51,9139,66,America/Porto_Velho
4040,5107040,Primavera do Leste,-15.544,-54.2811,0,51,9871,66,America/Porto_Velho
4076,5107065,Querência,-12.6093,-52.1821,0,51,97,66,America/Porto_Velho
4131,5107156,Reserva do Cabaçal,-15.0743,-58.4585,0,51,9879,65,America/Porto_Velho
4168,5107180,Ribeirão Cascalheira,-12.9367,-51.8244,0,51,9741,66,America/Porto_Velho
4180,5107198,Ribeirãozinho,-16.4856,-52.6924,0,51,99,66,America/Porto_Velho
4192,5107206,Rio Branco,-15.2483,-58.1259,0,51,8995,65,America/Porto_Velho
4271,5107578,Rondolândia,-10.8376,-61.4697,0,51,1092,66,America/Porto_Velho
4274,5107602,Rondonópolis,-16.4673,-54.6372,0,51,9151,66,America/Porto_Velho
4283,5107701,Rosário Oeste,-14.8259,-56.4236,0,51,9153,65,America/Porto_Velho
4326,5107750,Salto do Céu,-15.1303,-58.1317,0,51,8997,65,America/Porto_Velho
4359,5107248,Santa Carmem,-11.9125,-55.2263,0,51,123,66,America/Porto_Velho
4385,5107743,Santa Cruz do Xingu,-10.1532,-52.3953,0,51,1094,66,America/Porto_Velho
4466,5107768,Santa Rita do Trivelato,-13.8146,-55.2706,0,51,1096,65,America/Porto_Velho
4486,5107776,Santa Terezinha,-10.4704,-50.514,0,51,9197,66,America/Porto_Velho
4528,5107263,Santo Afonso,-14.4945,-57.0091,0,51,115,65,America/Porto_Velho
4558,5107792,Santo Antônio do Leste,-14.805,-53.6075,0,51,1098,66,America/Porto_Velho
4559,5107800,Santo Antônio do Leverger,-15.8632,-56.0788,0,51,9155,65,America/Porto_Velho
4631,5107859,São Félix do Araguaia,-11.615,-50.6706,0,51,9183,66,America/Porto_Velho
4785,5107297,São José do Povo,-16.4549,-54.2487,0,51,6087,66,America/Porto_Velho
4786,5107305,São José do Rio Claro,-13.4398,-56.7218,0,51,9199,65,America/Porto_Velho
4793,5107354,São José do Xingu,-10.7982,-52.7486,0,51,133,66,America/Porto_Velho
4799,5107107,São José dos Quatro Marcos,-15.6276,-58.1772,0,51,8993,65,America/Porto_Velho
4861,5107404,São Pedro da Cipa,-16.0109,-54.9176,0,51,93,66,America/Porto_Velho
4928,5107875,Sapezal,-12.9892,-58.7645,0,51,1046,65,America/Porto_Velho
5010,5107883,Serra Nova Dourada,-12.0896,-51.4025,0,51,1100,66,America/Porto_Velho
5062,5107909,Sinop,-11.8604,-55.5091,0,51,8985,66,America/Porto_Velho
5089,5107925,Sorriso,-12.5425,-55.7211,0,51,9907,66,America/Porto_Velho
5108,5107941,Tabaporã,-11.3007,-56.8312,0,51,125,66,America/Porto_Velho
5142,5107958,Tangará da Serra,-14.6229,-57.4933,0,51,9185,65,America/Porto_Velho
5163,5108006,Tapurah,-12.695,-56.5178,0,51,9763,66,America/Porto_Velho
5219,5108055,Terra Nova do Norte,-10.517,-55.231,0,51,9909,66,America/Porto_Velho
5224,5108105,Tesouro,-16.0809,-53.559,0,51,9161,66,America/Porto_Velho
5261,5108204,Torixoréu,-16.2006,-52.5571,0,51,9163,66,America/Porto_Velho
5382,5108303,União do Sul,-11.5308,-54.3616,0,51,1048,66,America/Porto_Velho
5414,5108352,Vale de São Domingos,-15.286,-59.0683,0,51,1102,65,America/Porto_Velho
5453,5108402,Várzea Grande,-15.6458,-56.1322,0,51,9167,65,America/Porto_Velho
5465,5108501,Vera,-12.3017,-55.3045,0,51,9905,66,America/Porto_Velho
5503,5105507,Vila Bela da Santíssima Trindade,-15.0068,-59.9504,0,51,9109,65,America/Porto_Velho
5514,5108600,Vila Rica,-10.0137,-51.1186,0,51,9897,66,America/Porto_Velho
