,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
141,1400050,Alto Alegre,2.98858,-61.3072,0,14,305,95,America/Porto_Velho
184,1400027,Amajari,3.64571,-61.3692,0,14,26,95,America/Porto_Velho
642,1400100,Boa Vista,2.82384,-60.6753,1,14,301,95,America/Porto_Velho
707,1400159,Bonfim,3.36161,-59.8333,0,14,307,95,America/Porto_Velho
1038,1400175,Cantá,2.60994,-60.6058,0,14,28,95,America/Porto_Velho
1086,1400209,Caracaraí,1.82766,-61.1304,0,14,303,95,America/Porto_Velho
1145,1400233,Caroebe,0.884203,-59.6959,0,14,30,95,America/Porto_Velho
2256,1400282,Iracema,2.18305,-61.0415,0,14,32,95,America/Porto_Velho
3202,1400308,Mucajaí,2.43998,-60.9096,0,14,309,95,America/Porto_Velho
3276,1400407,Normandia,3.8853,-59.6204,0,14,311,95,America/Porto_Velho
3498,1400456,Pacaraima,4.4799,-61.1477,0,14,34,95,America/Porto_Velho
4276,1400472,Rorainópolis,0.939956,-60.4389,0,14,36,95,America/Porto_Velho
4687,1400506,São João da Baliza,0.951659,-59.9133,0,14,313,95,America/Porto_Velho
4816,1400605,São Luiz,1.01019,-60.0419,0,14,315,95,America/Porto_Velho
5363,1400704,Uiramutã,4.60314,-60.1815,0,14,38,95,America/Porto_Velho
