,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
2924,2307700,Maranguape,-3.89143,-38.6829,0,23,1455,85,America/Sao_Paulo
2940,2307809,Marco,-3.1285,-40.1582,0,23,1457,88,America/Sao_Paulo
2979,2307908,Martinópole,-3.2252,-40.6896,0,23,1459,88,America/Sao_Paulo
2987,2308005,Massapê,-3.52364,-40.3423,0,23,1461,88,America/Sao_Paulo
3031,2308104,Mauriti,-7.38597,-38.7708,0,23,1463,88,America/Sao_Paulo
3048,2308203,Meruoca,-3.53974,-40.4531,0,23,1465,88,America/Sao_Paulo
3059,2308302,Milagres,-7.29749,-38.9378,0,23,1467,88,America/Sao_Paulo
3062,2308351,Milhã,-5.67252,-39.1875,0,23,1597,88,America/Sao_Paulo
3084,2308377,Miraíma,-3.56867,-39.9663,0,23,1263,88,America/Sao_Paulo
3102,2308401,Missão Velha,-7.23522,-39.143,0,23,1469,88,America/Sao_Paulo
3116,2308500,Mombaça,-5.73844,-39.63,0,23,1471,88,America/Sao_Paulo
3126,2308609,Monsenhor Tabosa,-4.79102,-40.0646,0,23,1473,88,America/Sao_Paulo
3170,2308708,Morada Nova,-5.09736,-38.3702,0,23,1475,88,America/Sao_Paulo
3172,2308807,Moraújo,-3.46311,-40.6776,0,23,1477,88,America/Sao_Paulo
3180,2308906,Morrinhos,-3.23426,-40.1233,0,23,1479,88,America/Sao_Paulo
3203,2309003,Mucambo,-3.90271,-40.7452,0,23,1481,88,America/Sao_Paulo
3211,2309102,Mulungu,-4.30294,-38.9951,0,23,1483,85,America/Sao_Paulo
3354,2309201,Nova Olinda,-7.08415,-39.6713,0,23,1485,88,America/Sao_Paulo
3372,2309300,Nova Russas,-4.70581,-40.5621,0,23,1487,88,America/Sao_Paulo
3413,2309409,Novo Oriente,-5.52552,-40.7713,0,23,1489,88,America/Sao_Paulo
3428,2309458,Ocara,-4.48523,-38.5933,0,23,1265,85,America/Sao_Paulo
3466,2309508,Orós,-6.25182,-38.9053,0,23,1491,88,America/Sao_Paulo
3497,2309607,Pacajus,-4.17107,-38.465,0,23,1493,85,America/Sao_Paulo
3499,2309706,Pacatuba,-3.9784,-38.6183,0,23,1495,85,America/Sao_Paulo
3502,2309805,Pacoti,-4.22492,-38.922,0,23,1497,85,America/Sao_Paulo
3503,2309904,Pacujá,-3.98327,-40.6989,0,23,1499,88,America/Sao_Paulo
3522,2310001,Palhano,-4.73672,-37.9655,0,23,1501,88,America/Sao_Paulo
3526,2310100,Palmácia,-4.13831,-38.8446,0,23,1503,85,America/Sao_Paulo
3568,2310209,Paracuru,-3.41436,-39.03,0,23,1505,85,America/Sao_Paulo
3576,2310258,Paraipaba,-3.43799,-39.1479,0,23,1599,85,America/Sao_Paulo
3584,2310308,Parambu,-6.20768,-40.6905,0,23,1507,88,America/Sao_Paulo
3586,2310407,Paramoti,-4.08815,-39.2417,0,23,1509,85,America/Sao_Paulo
3691,2310506,Pedra Branca,-5.45341,-39.7078,0,23,1511,88,America/Sao_Paulo
3733,2310605,Penaforte,-7.82163,-39.0707,0,23,1513,88,America/Sao_Paulo
3739,2310704,Pentecoste,-3.79274,-39.2692,0,23,1515,85,America/Sao_Paulo
3748,2310803,Pereiro,-6.03576,-38.4624,0,23,1517,88,America/Sao_Paulo
3800,2310852,Pindoretama,-4.01584,-38.3061,0,23,1267,85,America/Sao_Paulo
3824,2310902,Piquet Carneiro,-5.80025,-39.417,0,23,1519,88,America/Sao_Paulo
3859,2310951,Pires Ferreira,-4.23922,-40.6442,0,23,1269,88,America/Sao_Paulo
3933,2311009,Poranga,-4.74672,-40.9205,0,23,1521,88,America/Sao_Paulo
3941,2311108,Porteiras,-7.52265,-39.114,0,23,1523,88,America/Sao_Paulo
3984,2311207,Potengi,-7.09154,-40.0233,0,23,1525,88,America/Sao_Paulo
3988,2311231,Potiretama,-5.71287,-38.1578,0,23,1271,88,America/Sao_Paulo
4088,2311264,Quiterianópolis,-5.8425,-40.7002,0,23,9917,88,America/Sao_Paulo
4092,2311306,Quixadá,-4.9663,-39.0155,0,23,1527,88,America/Sao_Paulo
4093,2311355,Quixelô,-6.24637,-39.2011,0,23,9853,88,America/Sao_Paulo
4094,2311405,Quixeramobim,-5.19067,-39.2889,0,23,1529,88,America/Sao_Paulo
4095,2311504,Quixeré,-5.07148,-37.9802,0,23,1531,88,America/Sao_Paulo
4114,2311603,Redenção,-4.21587,-38.7277,0,23,1533,85,America/Sao_Paulo
4127,2311702,Reriutaba,-4.14191,-40.5759,0,23,1535,88,America/Sao_Paulo
4292,2311801,Russas,-4.92673,-37.9721,0,23,1537,88,America/Sao_Paulo
4299,2311900,Saboeiro,-6.5346,-39.9017,0,23,1539,88,America/Sao_Paulo
4318,2311959,Salitre,-7.28398,-40.45,0,23,1273,88,America/Sao_Paulo
4449,2312205,Santa Quitéria,-4.32608,-40.1523,0,23,1545,88,America/Sao_Paulo
4504,2312007,Santana do Acaraú,-3.46144,-40.2118,0,23,1541,88,America/Sao_Paulo
4506,2312106,Santana do Cariri,-7.17613,-39.7302,0,23,1543,88,America/Sao_Paulo
4582,2312304,São Benedito,-4.04713,-40.8596,0,23,1547,88,America/Sao_Paulo
4670,2312403,São Gonçalo do Amarante,-3.60515,-38.9726,0,23,1549,85,America/Sao_Paulo
4713,2312502,São João do Jaguaribe,-5.27516,-38.2694,0,23,1551,88,America/Sao_Paulo
4812,2312601,São Luís do Curu,-3.66976,-39.2391,0,23,1553,85,America/Sao_Paulo
4975,2312700,Senador Pompeu,-5.58244,-39.3704,0,23,1555,88,America/Sao_Paulo
4977,2312809,Senador Sá,-3.35305,-40.4662,0,23,1557,88,America/Sao_Paulo
5075,2312908,Sobral,-3.68913,-40.3482,0,23,1559,88,America/Sao_Paulo
5084,2313005,Solonópole,-5.71894,-39.0107,0,23,1561,88,America/Sao_Paulo
5117,2313104,Tabuleiro do Norte,-5.24353,-38.1282,0,23,1563,88,America/Sao_Paulo
5137,2313203,Tamboril,-4.83136,-40.3196,0,23,1565,88,America/Sao_Paulo
5178,2313252,Tarrafas,-6.67838,-39.753,0,23,1275,88,America/Sao_Paulo
5184,2313302,Tauá,-5.98585,-40.2968,0,23,1567,88,America/Sao_Paulo
5194,2313351,Tejuçuoca,-3.98831,-39.5799,0,23,1277,85,America/Sao_Paulo
5227,2313401,Tianguá,-3.72965,-40.9923,0,23,1569,88,America/Sao_Paulo
5272,2313500,Trairi,-3.26932,-39.2681,0,23,1571,85,America/Sao_Paulo
5338,2313559,Tururu,-3.58413,-39.4297,0,23,1279,85,America/Sao_Paulo
5351,2313609,Ubajara,-3.85448,-40.9204,0,23,1573,88,America/Sao_Paulo
5367,2313708,Umari,-6.63893,-38.7008,0,23,1575,88,America/Sao_Paulo
5373,2313757,Umirim,-3.67654,-39.3465,0,23,9855,85,America/Sao_Paulo
5398,2313807,Uruburetama,-3.62316,-39.5107,0,23,1577,85,America/Sao_Paulo
5406,2313906,Uruoca,-3.30819,-40.5628,0,23,1579,88,America/Sao_Paulo
5443,2313955,Varjota,-4.19387,-40.4741,0,23,9857,88,America/Sao_Paulo
5447,2314003,Várzea Alegre,-6.78264,-39.2942,0,23,1581,88,America/Sao_Paulo
5496,2314102,Viçosa do Ceará,-3.5667,-41.0916,0,23,1583,88,America/Sao_Paulo
