,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
1497,2604908,Cumaru,-8.00827,-35.6957,0,26,2397,81,America/Sao_Paulo
1504,2605004,Cupira,-8.62432,-35.9518,0,26,2399,81,America/Sao_Paulo
1524,2605103,Custódia,-8.08546,-37.6443,0,26,2401,87,America/Sao_Paulo
1617,2605152,Dormentes,-8.44116,-40.7662,0,26,2299,87,America/Sao_Paulo
1690,2605202,Escada,-8.35672,-35.2241,0,26,2403,81,America/Sao_Paulo
1734,2605301,Exu,-7.50364,-39.7238,0,26,2405,87,America/Sao_Paulo
1760,2605400,Feira Nova,-7.94704,-35.3801,0,26,2407,81,America/Sao_Paulo
1773,2605459,Fernando de Noronha,-3.8396,-32.4107,0,26,3001,81,America/Noronha
1781,2605509,Ferreiros,-7.44666,-35.2373,0,26,2409,81,America/Sao_Paulo
1799,2605608,Flores,-7.85842,-37.9715,0,26,2411,87,America/Sao_Paulo
1804,2605707,Floresta,-8.60307,-38.5687,0,26,2413,87,America/Sao_Paulo
1862,2605806,Frei Miguelinho,-7.93918,-35.9113,0,26,2415,81,America/Sao_Paulo
1879,2605905,Gameleira,-8.5798,-35.3846,0,26,2417,81,America/Sao_Paulo
1883,2606002,Garanhuns,-8.88243,-36.4966,0,26,2419,87,America/Sao_Paulo
1916,2606101,Glória do Goitá,-8.00568,-35.2904,0,26,2421,81,America/Sao_Paulo
1922,2606200,Goiana,-7.5606,-34.9959,0,26,2423,81,America/Sao_Paulo
1962,2606309,Granito,-7.70711,-39.615,0,26,2425,87,America/Sao_Paulo
1967,2606408,Gravatá,-8.21118,-35.5675,0,26,2427,81,America/Sao_Paulo
2079,2606507,Iati,-9.04559,-36.8498,0,26,2429,87,America/Sao_Paulo
2100,2606606,Ibimirim,-8.54026,-37.7032,0,26,2431,87,America/Sao_Paulo
2110,2606705,Ibirajuba,-8.57633,-36.1812,0,26,2433,87,America/Sao_Paulo
2148,2606804,Igarassu,-7.82881,-34.9013,0,26,2435,81,America/Sao_Paulo
2158,2606903,Iguaracy,-7.83222,-37.5082,0,26,2437,87,America/Sao_Paulo
2167,2607604,Ilha de Itamaracá,-7.74766,-34.8303,0,26,2451,81,America/Sao_Paulo
2187,2607000,Inajá,-8.90206,-37.8351,0,26,2439,87,America/Sao_Paulo
2204,2607109,Ingazeira,-7.66909,-37.4576,0,26,2441,87,America/Sao_Paulo
2241,2607208,Ipojuca,-8.39303,-35.0609,0,26,2443,81,America/Sao_Paulo
2249,2607307,Ipubi,-7.64505,-40.1476,0,26,2445,87,America/Sao_Paulo
