,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
4,1500107,Abaetetuba,-1.72183,-48.8788,0,15,401,91,America/Sao_Paulo
10,1500131,Abel Figueiredo,-4.95333,-48.3933,0,15,375,94,America/Sao_Paulo
18,1500206,Acará,-1.95383,-48.1985,0,15,403,91,America/Sao_Paulo
40,1500305,Afuá,-0.154874,-50.3861,0,15,405,91,America/Sao_Paulo
45,1500347,Água Azul do Norte,-6.79053,-50.4791,0,15,383,94,America/Sao_Paulo
107,1500404,Alenquer,-1.94623,-54.7384,0,15,407,93,America/Sao_Paulo
121,1500503,Almeirim,-1.52904,-52.5788,0,15,409,93,America/Sao_Paulo
133,1500602,Altamira,-3.20407,-52.21,0,15,411,93,America/Sao_Paulo
213,1500701,Anajás,-0.996811,-49.9354,0,15,413,91,America/Sao_Paulo
218,1500800,Ananindeua,-1.36391,-48.3743,0,15,415,91,America/Sao_Paulo
220,1500859,Anapu,-3.46985,-51.2003,0,15,40,91,America/Sao_Paulo
424,1500909,Augusto Corrêa,-1.05109,-46.6147,0,15,417,91,America/Sao_Paulo
434,1500958,Aurora do Pará,-2.14898,-47.5677,0,15,389,91,America/Sao_Paulo
440,1501006,Aveiro,-3.60841,-55.3199,0,15,419,93,America/Sao_Paulo
453,1501105,Bagre,-1.90057,-50.1987,0,15,421,91,America/Sao_Paulo
457,1501204,Baião,-2.79021,-49.6694,0,15,423,91,America/Sao_Paulo
485,1501253,Bannach,-7.34779,-50.3959,0,15,42,94,America/Sao_Paulo
501,1501303,Barcarena,-1.51187,-48.6195,0,15,425,91,America/Sao_Paulo
580,1501402,Belém,-1.4554,-48.4898,1,15,427,91,America/Sao_Paulo
597,1501451,Belterra,-2.63609,-54.9374,0,15,44,93,America/Sao_Paulo
601,1501501,Benevides,-1.36183,-48.2434,0,15,429,91,America/Sao_Paulo
691,1501576,Bom Jesus do Tocantins,-5.0424,-48.6047,0,15,575,94,America/Sao_Paulo
715,1501600,Bonito,-1.36745,-47.3066,0,15,431,91,America/Sao_Paulo
743,1501709,Bragança,-1.06126,-46.7826,0,15,433,91,America/Sao_Paulo
748,1501725,Brasil Novo,-3.29792,-52.534,0,15,639,93,America/Sao_Paulo
775,1501758,Brejo Grande do Araguaia,-5.69822,-48.4103,0,15,577,94,America/Sao_Paulo
779,1501782,Breu Branco,-3.77191,-49.5735,0,15,625,94,America/Sao_Paulo
780,1501808,Breves,-1.68036,-50.4791,0,15,435,91,America/Sao_Paulo
797,1501907,Bujaru,-1.51762,-48.0381,0,15,437,91,America/Sao_Paulo
845,1502004,Cachoeira do Arari,-1.01226,-48.9503,0,15,439,91,America/Sao_Paulo
846,1501956,Cachoeira do Piriá,-1.75974,-46.5459,0,15,46,91,America/Sao_Paulo
932,1502103,Cametá,-2.24295,-49.4979,0,15,441,91,America/Sao_Paulo
1001,1502152,Canaã dos Carajás,-6.49659,-49.8776,0,15,48,94,America/Sao_Paulo
1047,1502202,Capanema,-1.20529,-47.1778,0,15,443,91,America/Sao_Paulo
1077,1502301,Capitão Poço,-1.74785,-47.0629,0,15,445,91,America/Sao_Paulo
1170,1502400,Castanhal,-1.29797,-47.9167,0,15,447,91,America/Sao_Paulo
1260,1502509,Chaves,-0.164154,-49.987,0,15,449,91,America/Sao_Paulo
1300,1502608,Colares,-0.936423,-48.2803,0,15,451,91,America/Sao_Paulo
1334,1502707,Conceição do Araguaia,-8.26136,-49.2689,0,15,453,94,America/Sao_Paulo
1348,1502756,Concórdia do Pará,-1.99238,-47.9422,0,15,579,91,America/Sao_Paulo
1498,1502764,Cumaru do Norte,-7.81097,-50.7698,0,15,385,94,America/Sao_Paulo
1507,1502772,Curionópolis,-6.09965,-49.6068,0,15,581,94,America/Sao_Paulo
1517,1502806,Curralinho,-1.81179,-49.7952,0,15,455,91,America/Sao_Paulo
1519,1502855,Curuá,-1.88775,-55.1168,0,15,50,93,America/Sao_Paulo
1520,1502905,Curuçá,-0.733214,-47.8515,0,15,457,91,America/Sao_Paulo
1594,1502939,Dom Eliseu,-4.19944,-47.8245,0,15,583,94,America/Sao_Paulo
1646,1502954,Eldorado do Carajás,-6.10389,-49.3553,0,15,377,94,America/Sao_Paulo
1741,1503002,Faro,-2.16805,-56.7405,0,15,459,93,America/Sao_Paulo
1806,1503044,Floresta do Araguaia,-7.55335,-49.7125,0,15,52,94,America/Sao_Paulo
